Filename,Chemical,Units,Quanity
aspirin_1,aspirin,-,08 tablets
aspirin_2,-,-,-
aspirin_3,-,-,-
aspirin_4,predin,-,-
aspirin_5,-,-,-
aspirin_6,-,-,-
normal,desvenlafaxine,50 mg,28 x
normal_2,armodafinil,150 mg,-
normal_3,mesalazine,4 g,-
nurofen_1,-,-,-
nurofen_2,-,-,-
nurofen_3,buprofen,lysine 342mg,-
nurofen_4,Ibuprofen,STRENGTH) 400mg,-
panadol_1,-,500 mg,80 tablets
panadol_2,-,Cafieine 65mg,-
panadol_3,-,48 mg/mL,-
poor_quality,-,valproate 200mg,-
scan,-,peroxide (100mg/g),-
scan_2,-,-,-
single,amlodipine,5 mg),30 tablets
